,rating,estimate_salary_point,company_link,location,company_name,title,estimate_salary_range,job_description
84,3.8,"$103,439","/Overview/Working-at-GoDaddy-EI_IE35337.11,18.htm","Tempe, AZ",GoDaddy,Senior Software Development Engineer - Presence and Commerce,$69K-$135K ,"About GoDaddy

GoDaddy powers the world's largest cloud platform dedicated to small, independent ventures. With 19 million customers worldwide, GoDaddy is the place people come to name their idea, build a professional website, attract customers and manage their work. Our mission is to empower entrepreneurs everywhere, making opportunity more inclusive for all. To learn more about the company visit www.GoDaddy.com.

We’ve adapted our hiring process in response to COVID-19. To learn more about what GoDaddy is doing differently click here.We’re looking for a results-oriented software engineer who loves web technologies like Ruby, Javascript and Node! You will be helping build out the latest contact and member management solutions platform for GoDaddy’s GoCentral site builder suite, demonstrating horizontal scaling solutions such as Kubernetes, Cassandra, and Elasticsearch while utilizing the latest browser frameworks like React, Redux and Sagas.As a full-stack engineer, your duties will involve heavy client-side development, sophisticated backend operations, server-side API development and integration efforts. You will work with our remote team of Developers, Product Owners, UX and UI designers to build and scale a greenfield application. This team is responsible for building a world-class offering which provides contact management and email marketing solutions to small business owners, which includes user-facing features and deep vertical integrations with other products in the suite as well as third party products.

We use Ruby on Rails, MySQL, Redis, Cassandra, Elastic Search, React, and Redux. Experience with Rails and React is required. Responsible for producing high quality, test driven code to meet and exceed product requirements.Responsibilities:

Participate in all stages of the software development processWork in an agile Scrum teamWrite excellent, performant code and associated tests

Requirements:



4+ years developing web applications, using a framework like Rails3+ years working with ReactExperienced with CSSPassion for building phenomenal user interfacesExperience with Cassandra and/or Elastic Search is a bonusExperience working in an agile environmentFamiliarity with Scrum ceremonies and experience working on a remote software teamExperienced with Git and GitHubStandout colleague, ability to teach as well as learn.

Location - Tempe or open to remote

GoDaddy is proud to be an equal opportunity employer. We will not discriminate against any applicant or employee on the basis of age, race, color, creed, religion, sex, sexual orientation, gender, gender identity or expression, medical condition, national origin, ancestry, citizenship, marital status or civil partnership/union status, physical or mental disability, pregnancy, childbirth, genetic information, military and veteran status, or any other basis prohibited by applicable federal, state or local law. GoDaddy will consider for employment qualified applicants with criminal histories in a manner consistent with local and federal requirements.

If you need assistance completing an application for a position with us, please reach out to our Recruiting Team at myrecruiter@godaddy.com

Please note that GODADDY does not accept unsolicited resumes from recruiters or employment agencies.

To submit your application to this position, please click Apply. On the next screen, after you click Apply, click Create to establish your candidate account. If you have previously created a candidate account, please slick Sign-In and use that account to complete your application.Apply Now"
85,4.2,-1,"/Overview/Working-at-APEX-Analytix-EI_IE21190.11,24.htm",United States,APEX Analytix,Software Engineer,-1,"A snapshot of what you would do:

The .Net Application Developer is responsible for the development of internal– and external-facing products written in Microsoft’s .Net Framework. This position will maintain and implement new functionality in applications written in .Net that make use of SQL Server including stored procedures, and SQL Reporting Services. Experience with Microsoft’s SQL Server 2012 or later is a must. The developer will work on a team of developers with similar complimentary skills and will be required to meet deadlines while delivering quality code.Required location working onsite in Greensboro, NC.

Design, Development& Support of Specific Functionality as Directed by a Team Leader.Development of new screens and objects (both WPF and Web) in ASP.Net/C# using .NET Core and MVC5.Development of REST based services including WCF and ODataWriting queries using Linq and Entity Framework 6.0 or laterUnit, Integration, and Systems Testing of components.Develop and maintain SQL queries, and stored procedures.Develop and maintain SSRS reports.Communication with Team to identify roadblocks.Responsible for the overall security of systems they will be administering, including protecting client data and reporting situations which may provide unintentional elevated access. The employee will regularly review corporate policies and will enforce the policies documented in the Apex Corporate Security Standards.

Required Skills:

Strong SQL skills .NET/C#Prior experience and usage of Entity Framework 6.0 or laterMVC6 FrameworksDeep WinForms knowledgeExperience with basic Design PatternsTFS (Team Foundation System)WCF and REST based servicesODataStrong Object-Oriented fundamentals and expertiseAbility to juggle multiple projects and course correct as business drivers changeExperience developing applications on Windows Server environmentsExperience working with Agile Development methodologies

Experience:

Four-year college degree in Computer Science, IT, Engineering, or related discipline or equivalent experience2-3 years of experience in application, database and middle tier component design preferred2-3 years of experience in .Net Development (C# and VB.Net) preferred1-2+ years of WPF1-2+ years of WCF / Web API / WPF1-2+ years of MVC1-2+ years of Entity Framework

About Us:

APEX Analytix is the leading provider of trusted supplier data; supplier portal software; controls, audit and analytics software; and AP recovery audit services. We protect over $5 trillion in spend and prevent or recover over $3 billion in overpayments annually, and our client portals actively support over 3 million suppliers. Our software and audit services are built on our SmartVM® database of over 20 million supplier records with contacts, scored for accuracy and age, based on integration with over 650 external data sources and over 10 million communications with suppliers each year. APEX Archimedes™, an advanced cognitive technology and innovation system, supported by IBM Watson®, is integrated into APEX Analytix software and services to harness the power of the future through smarter recoveries, controls, analytics, working capital and supplier data. We serve over 250 Fortune 500/Forbes Global 2000 clients around the world and are fluent in languages covering 98 percent of global trade.

Our Culture:

At APEX Analytix, our culture drives everything! We live our culture of performance, respect, candor and fun—in that order. Performance is measured by delivering value to our clients, generating goodwill, trust and partnership. Sincere respect for each other, our diverse backgrounds and our well-being are our cornerstones. We value open and honest relationships with each other, our clients and our communities. And, life is too short to not have fun! We look for team players who possess the qualities of being humble, hungry and smart. We recruit candidates who will strive for accountability in performance and career growth, serving our clients in long-term respectful relationships, and working in a diverse and caring environment.

The Perks:

We owe our growing success to our team of bright, passionate, and innovative individuals. We truly value our associates and strive to provide the highest quality benefits program, offering competitive compensation packages with tailored bonus plans and generous benefits. Our benefits include health and insurance plans (medical, dental, optical, life insurance, disability insurance, FSA, HSA employee assistance program, supplemental insurance options and pre-paid legal), a generous paid time off plan, 401k plan, flexible work schedules, wellness programs (company fitness and weight loss challenges, financial wellness software tool, and gym membership stipend), associate and customer referral bonus programs, and paid community hours. And here at APEX Analytix, you won’t get lost in the shuffle. Our focus on internal training, growth and development results in annually filling over a quarter of our open positions with internal promotions! With resources such as a strong Mentor Program, Internal Training Portal, plus Education, Tuition, and Certification Assistance, we provide tools for our associates to grow and develop. If you are looking for a place to shine, come join the team!"
86,3.8,-1,"/Overview/Working-at-Ardisam-Inc-EI_IE506638.11,22.htm","Cumberland, WI","Ardisam, Inc.",Engineer - Electrical,-1,"Electrical Engineer 

Department: Lawn & Garden

Reports to: Director of Product Development for Lawn & Garden

We are an American company based in the heart of the Midwest, where the seasons shape the products we build. We live the outdoor rural lifestyle and we use our products. We design our products to be the best, and we also feature world class customer service. We have been making innovative outdoor products since 1960.

Job Summary:

Ardisam, Inc. is searching for an electrical engineer with the passion and motivation to design new products that contribute to innovative, industry-leading products. The electrical engineer will collaborate with a variety of colleagues from engineering, product development and manufacturing, and work across several of the Ardisam brands including ION, Eskimo, Earthquake, Yardbird, and Castle. In addition to being a team player, our ideal candidate is a self-motivated problem solver who finds pragmatic solutions to highly technical challenges.

The candidate will be exposed to a broad range of components and manufacturing processes including injection molded plastic, sheet metal, machining, rubber molding, IC engines, power transmission, AC/DC motors, circuit boards, and sensors.

Job Duties:

Design and develop functional electrical systems for existing and future product development
Understand product electrical requirements and develop solutions to problems
Create theories of operation for electrical systems
Create electrical standards for electrical drawings and testing procedures Evaluate and create electrical schematics and PCB layouts and make changes where necessary
Evaluate Li-Ion battery management systems and cell capabilities
Review or create 2D part drawings, 3D CAD models, and bill of materials for electrical systems including, but not limited to, sensors, motors, and circuit boards
Act as knowledge resource (SME) for design, quality, and testing of electrical components and systems
Effectively communicate project status updates to management
Effectively communicate with foreign suppliers
Help to develop and document quality expectations with related team members
Ensure components and assemblies adhere to applicable industry standards and regulations
Identify and implement continuous improvement opportunities

Qualifications and Skills:

5-10 years of experience
Proficient in the use of Solidworks or other computer-aided design software applications
Thorough understanding of electrical systems, circuit design, and microcontrollers, and an interest in controls, electronics, and/or embedded design would be favorable
Ability to multi-task and prioritize workload from multiple projects
Proficient with Microsoft Office Suite, Sharepoint, and circuit board simulation and design software
Exceptional verbal and written communication skills
Capacity to analyze a problem from multiple perspectives and explore creative solutions
A knowledge of standard quality assurance practices is preferred

Education: Bachelor’s degree in electrical engineering or similar field.

Benefits: Health Insurance, Vision Insurance, Dental Insurance, Group Term Life Insurance, Long Term Disability, Personal Time Off, Paid Holidays, 401K Plan with Company Match, Flexible Spending Accounts (Dependent), Health Savings Account with Employer Contributions.

Compensation: Salaried Position

Duration of Employment: Full Time

Work Days: Monday – Friday

Hours / Day: 8

Work Shift: First Shift

Travel: 20% travel is required.

Ardisam, Inc. is an Equal Opportunity Employer.

Ardisam, Inc. is a Substance Free Workplace and requires pre-employment drug screens.

To Apply: https://www.appone.com/MainInfoReq.asp?R_ID=2984810"
87,4.0,"$56,671","/Overview/Working-at-John-Bean-Technologies-Corporation-EI_IE360000.11,45.htm","Kingston, NY",John Bean Technologies Corporation,Software Engineer,$38K-$67K ,"OverviewThe person in this position writes real-time software in an exciting division of a large technology company. The software controls industrial food processing equipment including an x-ray/image-processing product with machine vision for image processing/object recognition. We have business initiatives in IoT and big data. Works in a small tight group where the responsibilities are broad and the expectations are high. We’re looking for a flexible, self-motivated candidate who can analyze problems, formulate and execute commercially successful solutions; interface well with customers and has plenty of common sense. The position embraces the Lean Enterprise strategy and adheres to all safety policies.Responsibilities

Software design and layout on a multi-core, multi-threaded embedded Windows PC. Write system software and implement algorithms using C/C++ and third-party packages.
Support C# based HMI/GUI and create utilities as needed.
Support IoT development efforts
Software testing. Develop testing strategies using frameworks such as Python or Google Test. Build test harnesses
Occasional travel to customer sites, remote company facilities, etc. to troubleshoot and resolve application-related issues/problems.
Contacts other resources as needed to resolve issue/problem.
Works with Aftermarkets on any necessary ECR driven by issues identified in the field.
From time to time may trains customer in proper machine systems maintenance and operation of the entire Wolf-tec and X-ray product lines.
May create training aids for customers and fellow employees. Documents findings that improve quality and/or efficiency.
Takes training courses as required staying current with new technology and OSHA safety standards
Performs other duties as assigned.

QualificationsKnowledge and Skills:

Bachelor’s or master’s degree in computer science or related technical field.

Ability to program C++/C# in a multi-threaded real-time environment

Experience coding signal/image processing algorithms.

Knowledge of PLC programming preferred.

Familiarity with unit testing frameworks is preferred.

Effective communicator in writing and orally.

Customer friendly personality.

Team Player.

Experience:

2-5 years minimum work experience in C/C++ programming. Broad software engineering experience is required, from overall system architecture to module design. Must have experience in:


 Implementing machine vision (image processing, computer vision) algorithms
 Industrial controls (motion control, data acquisition, assorted interfaces)
 Real-time Programming
 GUI/HMI design

Work Environment: Time is split between travel, customer facililities, and manufacturing environments.

Physical Demands: While performing the duties of this job is regularly required to sit, stand, and walk. Uses hands to finger, handle, or feel; reach with hands and arms; and talk or hear. Specific vision abilities include close vision, distance vision, color vision, and ability to adjust focus.

BENEFITS

JBT Corporation offers the growth potential of a company with a developing technology that is unique in its field, plus frequent company-sponsored events and a competitive benefits package that includes medical, dental and vision coverage and 401(k) plan.

AN EQUAL OPPORTUNITY EMPLOYER

It is the policy of JBT Corporation to provide equal opportunity for qualified persons and not to discriminate against any applicant for employment because of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, veteran status, citizenship, or any other characteristic protected by federal, state or local law at the JBT Corporation location to which this application is submitted. In addition, as a Federal Government contractor, JBT Corporation is an affirmative action employer. If you require accommodation during the application process, please contact the local Human Resources department. EOE-Females/Minorities/Protected Veterans/Individuals with Disabilities

If you have a disability or impairment that prevents you from completing the online application, please seek the assistance of your local employment services agency. JBT maintains active relationships with local employment services agencies, and they have pledged their support in assisting any applicant needing help in applying. To find information on agencies throughout the United States, please go to www.careeronestop.org

You may also call Megan Centers at 844-286-4524 if your disability or impairment prevents you from applying online. NOTE: Do not use this number unless you need assistance because of a disability or impairment. The personnel attending this phone line will not be able to give you a status update regarding your application and will not be the individuals making a decision regarding your employment."
88,3.9,"$98,090","/Overview/Working-at-Trinity-Technology-Partners-EI_IE1719018.11,38.htm","Landover, MD",Trinity Technology Partners,Network Systems Engineer (InTP) (TS/SCI clearance required),$75K-$115K ,"Trinity Technology Partners is a leading-edge IT solutions provider with emphasis in network engineering, systems administration, cyber security, insider threat solutions, software development, testing, and software transition planning. We help our clients engineer custom solutions to solve business challenges while empowering them to build innovative, lasting, competitive advantages. Trinity is a Small Business Administration 8(a), ISO 9001:2015 certified business. We are seeking a motivated, career and customer-oriented Systems Engineer to join our team.

The Systems Engineer will be responsible for the following duties in an insider threat environment:

Capable of design, procurement coordination, configuration and operation of physical and virtualized systems infrastructure. Performs functions of Network Administration, Security Administration, and Systems Administration.Design, implement and maintain a classified network enclave including a Continuity of Operations (COOP) offsite capability and/or Disaster Recovery Plan (DRP), as defined by the USG.Obtain Commercial Off-The-Shelf (COTS) software or hardware for deployment within the ITG network enclave as directed and per associated funding in the contract schedule, upon direction and coordination of USG personnel.Deploy and maintain COTS, Government Off-The-Shelf (GOTS), and User Activity Monitoring software products within the network enclave as directed.Ensure continued integration with the customer's security information systems, placement on JWICS, and maintain accredited status.

Desired skills:

Advanced knowledge in Network design, implementation, and management.Advanced knowledge in Firewall technologies and methodologies (Design, implementation, and management).Good understanding of Microsoft Visio and ability to draw out network designs.CCNP (Cisco), BCNE (Brocade), or JNCIP-ENT (Juniper).At least 5 years of networking experience with an additional 3 years in network engineering.

Qualifications/Licenses:

Information Assurance Technician (IAT) II or equivalent (Security +)Network +

Security Clearance:

US Citizenship and a current DoD TS/SCI clearance based upon a SSBI completed within the last 5 years, with a CI Polygraph.

Trinity offers full-time employees a generous benefits package:

Health benefits: Health, dental, and vision care (for employees and their families)Monetary benefits: Competitive salary, 401(k) with company matching program, Student Loan Payback ProgramPersonal growth benefits: challenging work, training, tuition reimbursement, Paid Time Off and Wellness Leave, 10 paid holidays

Trinity Technology Partners, Inc., is an equal opportunity/affirmative action employer. All qualified applicants will be considered without regard to age, race, color, sex, religion, nation origin, marital status, ancestry, citizenship, veteran status, sexual orientation or preference, or physical or mental disability.

Powered by JazzHR"
89,4.6,-1,"/Overview/Working-at-AVIAN-EI_IE431294.11,16.htm","Lexington Park, MD",AVIAN,Software Engineer,-1,"AVIAN is seeking an Software Engineer to support the Multi-Use Lab Environment (MULE) Lab.

Essential Duties and Responsibilities:

Minimum Requirements:

The incumbent will be part of an Integrated Product Team (IPT) ) in support of the software development and maintenance of the Core Level Software used on the Mission Computer Alternative (MCA) system. The incumbent should have a thorough understanding of software development practices: configuration management, code reviews, unit testing, and continuous integration with at least 5 years of C++ programming experience. The incumbent will also develop software to perform IV&V tests on FACE conformant applications on various hardware configurations and be familiar with implementing software practices for DO-178C DAL A compliance. The incumbent must have experience in managing SSA and will oversee and guide in the development of new tools. The candidate must be a self-starter willing to work with, lead, customers, and train junior engineers, ESDPs, and interns. The incumbent must obtain and maintain a TOP SECRET.

Preferred Skills:

Experience with C/C++, Embedded systems, VxWorks is preferred

Security Clearance Requirements:

The incumbent must obtain and maintain a TOP SECRET.

Company Overview

Headquartered in Lexington Park, Maryland, we relish in the process of cracking open a Maryland blue crab and the delicious reward you get with a little hard work. Our team spans from sea to shining sea supporting the Department of Defense, specifically, the Naval Air Systems Command, the Naval Sea Systems Command, the Office of Naval Research, and NAVWAR.

We’re seeking people that are passionate and excited about creating well-crafted products and memorable experiences with our customers. We are not in the market of automated transactions; we build lasting relationships.

~ AVIAN is an Equal Opportunity Employer. AVIAN recruits, hires, trains and promotes individuals and administers personnel actions without regard to race, color, religion, age, sex, national origin, status as a qualified individual with a disability or any other category by applicable federal, state or local law. ~

Powered by JazzHR"
90,5.0,"$101,321","/Overview/Working-at-CollabraSpace-Inc-EI_IE466362.11,28.htm","Annapolis Junction, MD","CollabraSpace, Inc.",Test Engineer (Clearance Required),$93K-$109K ,"About the job:

You’ve got the hot skills, the winning attitude and the clearance, but maybe your job doesn’t live up to your career goals? At CollabraSpace, you decide which project best suits your interests, talents, and ambitions. Tell us what you like to do, chances are we have a program ready to reward your talents.

Requirements:

Accepting all levels of Test EngineersConduct research into and apply knowledge of Government test and evaluation concepts and related engineering, acquisition, and operations activities as needed to support the T&E activitiesAssess operational and system performance requirements for testability and criticality to frame and prioritize T&E objectives and enable evaluation planningCoordinate with program Systems Engineering (SE) and review T&E-related SE information to leverage functional analysis, system descriptions, parameter selection and dependencies, Modeling and Simulation, and initial performance risk assessments to inform evaluation planningSpecify, validate, and adapt Modeling and Simulation for T&E useApply Statistical Analysis of variations in performance behavior to characterize confidence in performance estimatesSelect, develop, & use analysis toolsSelect, coordinate, and calibrate Instrumentation, collection and data management tools, targets, & facilitiesFour (4) years of additional TE experience may be substituted for a bachelor’s degree.


Bachelor’s degree in Math, Science, Engineering, Statistics, Engineering Management, or related discipline from an accredited college or university is required.
Clearance: Applicants must be U.S. Citizens possessing an active TS/SCI security clearance with a Polygraph.

About us: Collaboration is the fusion of people and ideas toward a common goal; and at CollabraSpace it’s part of everything we do. It's the foundation upon which Collabraspace was created, at the core of our corporate philosophy, and even represented in our logo where different pieces of one circle work together. As a technical services and product company, Collabraspace supports the critical mission of our nation’s security through ongoing collaboration with our team members, customers, and partners.

Across our 20+ programs we provide enterprise software development solutions and real-time collaboration to both government and private industry. CollabraSpace is headquartered in Annapolis Junction, MD, close to the majority of our work and therefore, close to you.

CollabraSpace Facts:

Team. At CollabraSpace, we truly believe in the team. We’ll always do our best to find a position that makes you happy to go to work every day, support the charitable causes that are important to you, and encourage your involvement with the company by providing events for the whole family.Security. We offer competitive salaries but more than that, we make sure the salary we are offering you can be supported by multiple programs. Why is that important? See bullet #1; if you’re not happy we will do our best to find something that does make you happy.Benefits. Our comprehensive benefits package means you pay very little for a full suite of coverage.

100% company paid premiums for Health and Dental plans for employees and eligible dependents.100% company paid Life & Disability plans.401(k) & Roth plan with company contribution immediately vested.Annual bonus plan, spot bonuses for a job well done, and referral bonuses.Paid Time Off (PTO) allowing you to use your time off as you see fit.Formal education and training benefits.

Transparency. You have heard it before but here you’ll truly experience it. The management team “puts it all on the table” and always has an open door.Training and Education. It’s part of our collaborative environment. Besides the traditional off-site training which we pay for upfront, CollabraSpace offers in-house Technical Exchanges on a range of topics presented by our own technical staff or industry partners.Honors. We earned the Alliance for Workplace Excellence Award for 4 years runningand have been named to the Baltimore Sun’s Top 100 Workplaces 2013, 2014, 2015, 2016, 2017, and 2018; an award given based on survey responses from our team members. We are consistently ranked as one of the Top IT Firms in Baltimore by the Baltimore Business Journal.

Equal Opportunity Employer/Veterans/Disabled

CollabraSpace is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, sexual orientation, gender identity, genetic information, marital status, physical or mental disability, medical condition, veteran status, or any other factor determined to be unlawful by federal, state, or local statutes.

Make a life at CollabraSpace, not just a living!"
91,5.0,"$93,996","/Overview/Working-at-CollabraSpace-Inc-EI_IE466362.11,28.htm","Annapolis Junction, MD","CollabraSpace, Inc.",Junior System Engineer (Clearance Required),$69K-$104K ,"About the job:

You’ve got the hot skills, the winning attitude and the clearance, but maybe your job doesn’t live up to your career goals? At CollabraSpace, you decide which project best suits your interests, talents, and ambitions. Tell us what you like to do, chances are we have a program ready to reward your talents.

Requirements:

No demonstrated experience is requiredContributes to the development of sections of systems engineering documentation such as System Engineering Plans, Initial Capabilities Documents, Requirements specifications, and Interface Control DocumentsManages system requirements and derived requirements to ensure the delivery of production systems that are compatible with the defined system architecture(s) – Department of Defense Architecture Framework (DoDAF), Service-oriented Architecture (SOA), etcAssists with the development of system requirements, functional requirements, and allocation of the same to individual hardware, software, facility, and personnel componentsCoordinates the resolution of action items from Configuration Control Board (CCB) meetings, design reviews, program reviews, and test reviews that require cross-discipline coordinationFive (5) years of system engineering (SE) experience may be substituted for a bachelor’s degree.


Bachelor’s degree in System Engineering, Computer Science, Information Systems, Engineering Science, Engineering Management, or related discipline from an accredited college or university is required.
Clearance: Applicants must be U.S. Citizens possessing an active TS/SCI security clearance with a Polygraph.

About us: Collaboration is the fusion of people and ideas toward a common goal; and at CollabraSpace it’s part of everything we do. It's the foundation upon which Collabraspace was created, at the core of our corporate philosophy, and even represented in our logo where different pieces of one circle work together. As a technical services and product company, Collabraspace supports the critical mission of our nation’s security through ongoing collaboration with our team members, customers, and partners.

Across our 20+ programs we provide enterprise software development solutions and real-time collaboration to both government and private industry. CollabraSpace is headquartered in Annapolis Junction, MD, close to the majority of our work and therefore, close to you.

CollabraSpace Facts:

Team. At CollabraSpace, we truly believe in the team. We’ll always do our best to find a position that makes you happy to go to work every day, support the charitable causes that are important to you, and encourage your involvement with the company by providing events for the whole family.Security. We offer competitive salaries but more than that, we make sure the salary we are offering you can be supported by multiple programs. Why is that important? See bullet #1; if you’re not happy we will do our best to find something that does make you happy.Benefits. Our comprehensive benefits package means you pay very little for a full suite of coverage.

100% company paid premiums for Health and Dental plans for employees and eligible dependents.100% company paid Life & Disability plans.401(k) & Roth plan with company contribution immediately vested.Annual bonus plan, spot bonuses for a job well done, and referral bonuses.Paid Time Off (PTO) allowing you to use your time off as you see fit.Formal education and training benefits.

Transparency. You have heard it before but here you’ll truly experience it. The management team “puts it all on the table” and always has an open door.Training and Education. It’s part of our collaborative environment. Besides the traditional off-site training which we pay for upfront, CollabraSpace offers in-house Technical Exchanges on a range of topics presented by our own technical staff or industry partners.Honors. We earned the Alliance for Workplace Excellence Award for 4 years runningand have been named to the Baltimore Sun’s Top 100 Workplaces 2013, 2014, 2015, 2016, 2017, and 2018; an award given based on survey responses from our team members. We are consistently ranked as one of the Top IT Firms in Baltimore by the Baltimore Business Journal.

Equal Opportunity Employer/Veterans/Disabled

CollabraSpace is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, sexual orientation, gender identity, genetic information, marital status, physical or mental disability, medical condition, veteran status, or any other factor determined to be unlawful by federal, state, or local statutes.

Make a life at CollabraSpace, not just a living!"
92,3.3,"$91,989","/Overview/Working-at-American-Axle-and-Manufacturing-EI_IE4710.11,42.htm","Detroit, MI",American Axle & Manufacturing,Sr. Software Engineer,$57K-$120K ,"We are AAM. We have the POWER to move the world.

At AAM, we're looking for associates who push boundaries and drive solutions for the future. Innovators. Thinkers. Dreamers. Doers. No matter the role or function, every associate is a piece of what makes AAM great. Were growing and building #TeamAAM to be the best. Join us!

Job Posting TitleSr. Software EngineerJob Description SummaryJoin the rapidly growing team of motivated software engineers designing, developing, and testing embedded software for driveline systems. Work in a team environment to develop platform and application software used across a diverse portfolio of driveline products. Projects are highly complex and original, requiring strategic direction, cross-disciplinary integration, and ingenuity of approach. The Senior Software Engineer also plays a key role in developing guidelines and procedures for the software development.Job Description

Responsible for design, development and testing of software componentsDevelop and configure AUTOSAR componentsWork closely with the electronics and hardware departments to ensure design of electronics and hardware can support the software requirementsSupport architecture design and developmentCreate detailed designs to link the software implementation to the requirementsDevelop software code in C to implement the software designConduct unit and integration tests to validate the software implementationSupport issue analysis and corrective action definitionsDevelop software in an ASPICE compliant process

Required Skills and Education

Bachelor Degree in relevant engineering field5+ years in automotive embedded software developmentAbility to travel up to 10% of the yearExcellent C/C++ programming experienceExperience with AUTOSAR components and configuration toolsExperience developing low level embedded software driversExperience implementing and integrating complex device driversExperience with vehicle communication (CAN, CAN FD, Flex Ray) and diagnostic protocolsFamiliar with developing flashable boot loadersFamiliar with Lauterbach debugging tools

About American Axle & Manufacturing

For over 20 years, customers around the world have entrusted AAM to design, engineer, validate and manufacture driveline and metal forming technologies for automotive, commercial and industrial markets. Today, we are a premier global Tier 1 automotive supplier with broad capabilities across multiple product lines to deliver efficient, powerful and innovative solutions for our customers. Weve earned the trust of our suppliers and our customers through our steadfast commitments to quality, operational excellence and technology leadership.

AAM delivers power. We deliver power literally through vehicle components, systems and innovation, but we also deliver power in ways unseen. We power our associates, their families, and the communities in which we operate. Our global team of over 21,000 associates has a clear vision of where AAM is going and how we are going to get there. After all, they are the reason we are a leader in the automotive industry. We are powering the future. We are AAM. Move with us, and join #TeamAAM.AAM will not discriminate against any Associate or applicant for employment because of age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. AAM will take affirmative action to ensure that applicants are employed, and that Associates are treated equally during employment, without regard to their age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. For the Disabled Job Seeker: We offer reasonable accommodations for qualified disabled individuals who are applicants for employment. To request assistance or accommodations, please e-mail aamhr@aam.com . AAM is an equal opportunity/affirmative action employer.Unsolicited Resumes from Third-Party Recruiters

Please note that as per AAM policy, we do not accept unsolicited resumes from third-party recruiters unless such recruiters were engaged to provide candidates for a specified opening. Any employment agency, person or entity that submits an unsolicited resume does so with the understanding that AAM will have the right to hire that applicant at its discretion without any fee owed to the submitting employment agency, person or entity."
94,4.0,"$131,054","/Overview/Working-at-T-Mobile-EI_IE9302.11,19.htm","Bellevue, WA",T-Mobile,"Sr Engineer, Software - Platform IOT",$90K-$174K ,"As a leading telecom company, T-Mobile has a natural place in the world of connected devices, so called Internet of Things (IoT). Our team is focused on in-house product development including hardware, software platform and mobile applications. We strive to deliver connected experiences to customers in a fast and iterative development process. Customer focus, customer driven development are important skills in our team no matter the role.

Responsibilities

As a senior engineer on the IoT platform team, you will be working on cutting edge technology in the hardware and software world. You will be building a common platform that supports multiple connected products, mobile applications, and deliver functionality based on geo location, push notifications, device management, user management while prioritizing privacy and security of customer data. You will be interacting with product managers to help them discover technology features and capabilities, advise them on feasibility, and provide estimations. You will be working with hardware engineers to consume device data, manage devices and send data to the devices. You will be working with mobile developers to provide API's that drive mobile features. Test driven development will be your foundation for delivering quality code at source with unit tests, integration tests. You will own the delivery of your code from end-to-end, automating continuous integration and delivery.

Qualifications

Proficiency in Java or C# or Similar object-oriented language Expertise in developing scalable API's while considering security (authentication and authorization) and privacy best practices Experience in hosting cloud applications in AWS or Azure platforms or similar IaaS proivder Experience with containers (Docker) and orchestration frameworks (Kubernetes, Marathon, Swarm) Experience with geo location data Automated testing of code, build pipelines and delivery Experience in Document Database (CosmosDB/ MongoDB/ Cassandra), proficiency in SQL Understanding of internet protocols such as TCP/IP, UDP and networking and security standards Production support and reliability engineering, monitoring and alerts Software systems design, design patterns, OOPS concepts Desired Skills:Experience in Java Spring framework is a plus Familiarity with big data, streaming analytics is a plus Experience in providing API's to mobile apps is a plus Knowledge with Kotlin is a plus Full stack web development is a plus

Minimum Qualifications

5 plus years of cloud-based API development experience Bachelor's degree in STEM faculties

Company Profile

As America's Un-carrier, T-Mobile USA, Inc. (NASDAQ: ""TMUS"") is redefining the way consumers and businesses buy wireless services through leading product and service innovation. The company's advanced nationwide 4G and 4G LTE network delivers outstanding wireless experiences for customers who are unwilling to compromise on quality and value. Based in Bellevue, Washington, T-Mobile USA. Inc. provides services through its subsidiaries and operates its flagship brands, T-Mobile and Metro by T-Mobile. For more information, please visit http://www.t-mobile.com

Applicant Privacy Policy

We are committed to maintaining your trust by respecting and protecting your privacy. For more information about how T-Mobile processes the personal data of job applicants, please visit Applicant Privacy Policy.

EOE Statement

We Take Equal Opportunity Seriously - By Choice. T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination or harassment based upon any of these factors is wholly inconsistent with our Company values and will not be tolerated. Furthermore, such discrimination or harassment may violate federal, state, or local law."
